	 Year       Value_Index    Growth_Index	
         1926            1            1
         1927       1.3529       1.3142
         1928        1.907       1.7723
         1929       1.2249      0.98843
         1930      0.65679      0.63408
         1931      0.31611      0.36333
         1932      0.32038      0.34425
         1933      0.70064      0.89302
         1934      0.76026       1.2135
         1935       1.1644       1.8001
         1936       2.0167        2.468
         1937      0.97869       1.2676
         1938       1.2352       1.8229
         1939       1.1913       2.0183
         1940       1.0742       2.0298
         1941       1.0225       1.6778
         1942       1.3803        1.959
         1943       2.6477       2.8422
         1944       3.9639        4.014
         1945       6.9214       6.5942
         1946        6.412       5.7765
         1947       6.7544       5.2925
         1948        6.599       4.9135
         1949       7.9875       6.0692
         1950       12.154       7.9512
         1951       13.645       9.2441
         1952       14.817       10.034
         1953       13.792       9.9662
         1954        22.54       14.272
         1955        27.83       16.263
         1956       29.494       17.507
         1957       24.805       14.532
         1958       42.086       25.463
         1959       49.417       30.918
         1960       46.443       30.367
         1961        60.77       37.109
         1962       55.015       28.822
         1963       70.606       31.123
         1964       86.775       33.653
         1965       123.65       47.111
         1966       114.06       44.604
         1967       191.11       84.043
         1968       278.65       111.55
         1969       206.65       85.135
         1970       220.33       67.896
         1971       252.21       85.453
         1972       270.57       85.787
         1973       196.89       47.123
         1974       159.45        32.09
         1975       250.52       51.768
         1976       398.65       71.544
         1977       493.61       85.388
         1978        602.8       100.46
         1979       833.85       149.52
         1980       1019.6       228.26
         1981       1199.9       201.94
         1982       1678.2       241.77
         1983       2476.7       295.24
         1984       2662.9       257.33
         1985       3518.2       331.73
         1986       4028.4        338.2
         1987       3741.6        296.8
         1988       4892.5       346.16
         1989       5660.6        417.4
         1990       4238.1       343.35
         1991         5957       531.27
         1992       8027.7       562.19
         1993        10389       633.25
         1994        10722       605.64
         1995        13691       818.41
         1996        16527       919.56
         1997        22689       1060.2
         1998        20731       1092.4
         1999        21890       1690.5
         2000        21715       1282.2
         2001        30453       1284.3
         2002        26674       887.82
         2003        46596       1360.1
         2004        58986       1530.7
         2005        61069       1614.1
         2006        74357       1802.5
         2007        63048       1935.2
         2008        35061       1130.9
